[2021-11-23 10:32:20,140] - [INFO] - ------开始执行------
[2021-11-23 10:32:21,326] - [ERROR] - 借据需为逾期状态！787-503410243301796403
[2021-11-23 10:33:58,917] - [INFO] - ------开始执行------
[2021-11-23 10:33:59,666] - [ERROR] - 借据需为逾期状态！787-503410243301796403
[2021-11-23 10:40:15,488] - [INFO] - ------开始执行------
[2021-11-23 10:40:16,461] - [ERROR] - 借据需为逾期状态！787-503410243301796403
[2021-11-23 10:44:03,578] - [INFO] - ------开始执行------
[2021-11-23 10:44:05,938] - [ERROR] - 借据需为逾期状态！787-503410243301796403
[2021-11-23 10:45:35,988] - [INFO] - ------开始执行------
[2021-11-23 10:45:37,006] - [INFO] - 借据号：787-503410243301796403，正常本金：755.77，逾期本金：244.23，本金：1000，利息：261.55，罚息：0，总和：1261.55
[2021-11-23 10:45:37,008] - [INFO] - 更新acct_loan表逾期金额（755.77）和正常金额（244.23）
[2021-11-23 10:45:37,117] - [INFO] - ------更新成功------
[2021-11-23 10:45:37,295] - [INFO] - 将数据插入acct_file_task_detail表
[2021-11-23 10:45:37,451] - [INFO] - ------插入成功------
[2021-11-23 10:45:37,559] - [INFO] - TASK_ID:460100011307194
[2021-11-23 10:45:37,561] - [INFO] - 索赔日：20350212
[2021-11-23 10:45:37,598] - [INFO] - 理赔申请文件生成成功
[2021-11-23 10:47:04,540] - [INFO] - ------开始执行------
[2021-11-23 10:47:05,495] - [ERROR] - 借据需为逾期状态！787-503410233301796085
[2021-11-23 10:48:01,668] - [INFO] - ------开始执行------
[2021-11-23 10:48:03,098] - [INFO] - 借据号：787-503410233301796085，正常本金：1007.71，逾期本金：992.29，本金：2000，利息：355.63，罚息：0，总和：2355.63
[2021-11-23 10:48:03,101] - [INFO] - 更新acct_loan表逾期金额（1007.71）和正常金额（992.29）
[2021-11-23 10:48:03,246] - [INFO] - ------更新成功------
[2021-11-23 10:48:03,444] - [INFO] - 将数据插入acct_file_task_detail表
[2021-11-23 10:48:03,569] - [INFO] - ------插入成功------
[2021-11-23 10:48:03,723] - [INFO] - TASK_ID:460100011302620
[2021-11-23 10:48:03,724] - [INFO] - 索赔日：20350211
[2021-11-23 10:48:03,775] - [INFO] - 理赔申请文件生成成功
[2021-11-23 14:46:16,576] - [INFO] - ------开始执行------
[2021-11-23 14:46:18,683] - [INFO] - 借据号：787-503410233301796085，正常本金：1007.71，逾期本金：992.29，本金：2000，利息：29.18，罚息：0，总和：2029.18
[2021-11-23 14:46:18,684] - [INFO] - 更新acct_loan表逾期金额（1007.71）和正常金额（992.29）
[2021-11-23 14:46:18,839] - [INFO] - ------更新成功------
[2021-11-23 14:46:19,043] - [INFO] - 将数据插入acct_file_task_detail表
[2021-11-23 14:46:19,197] - [INFO] - ------插入成功------
[2021-11-23 14:46:19,320] - [INFO] - TASK_ID:460100011308048
[2021-11-23 14:46:19,320] - [INFO] - 索赔日：20350211
[2021-11-23 14:46:19,366] - [INFO] - 理赔申请文件生成成功
[2021-11-23 15:01:45,673] - [INFO] - ------开始执行------
[2021-11-23 15:01:47,064] - [INFO] - 借据号：787-503410243301796403，正常本金：755.77，逾期本金：244.23，本金：1000，利息：16.72，罚息：0，总和：1016.72
[2021-11-23 15:01:47,065] - [INFO] - 更新acct_loan表逾期金额（755.77）和正常金额（244.23）
[2021-11-23 15:01:47,141] - [INFO] - ------更新成功------
[2021-11-23 15:01:47,268] - [INFO] - 将数据插入acct_file_task_detail表
[2021-11-23 15:01:47,341] - [INFO] - ------插入成功------
[2021-11-23 15:01:47,502] - [INFO] - TASK_ID:460100011306957
[2021-11-23 15:01:47,503] - [INFO] - 索赔日：20350212
[2021-11-23 15:01:47,541] - [INFO] - 理赔申请文件生成成功
