"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 12 10:04:37 GMT+08:00 2021","Fri Mar 12 10:04:39 GMT+08:00 2021","2009","testcase","test_regression_0312","Test_repay_regression","","","test003[787-502807273301494658]",""
"passed","Fri Mar 12 10:04:39 GMT+08:00 2021","Fri Mar 12 10:04:41 GMT+08:00 2021","1664","testcase","test_regression_0312","Test_repay_regression","","","test003[787-502808233301498514]",""
"passed","Fri Mar 12 10:04:33 GMT+08:00 2021","Fri Mar 12 10:04:35 GMT+08:00 2021","1726","testcase","test_regression_0312","Test_repay_regression","","","test002[787-502808233301498514]",""
"passed","Fri Mar 12 10:04:37 GMT+08:00 2021","Fri Mar 12 10:04:37 GMT+08:00 2021","469","testcase","test_regression_0312","Test_repay_regression","","","test003[787-502808233301498210]",""
"passed","Fri Mar 12 10:04:28 GMT+08:00 2021","Fri Mar 12 10:04:30 GMT+08:00 2021","1214","testcase","test_regression_0312","Test_repay_regression","","","test001[787-502808233301498514]",""
"passed","Fri Mar 12 10:04:32 GMT+08:00 2021","Fri Mar 12 10:04:33 GMT+08:00 2021","1037","testcase","test_regression_0312","Test_repay_regression","","","test002[787-502807273301494658]",""
"passed","Fri Mar 12 10:04:26 GMT+08:00 2021","Fri Mar 12 10:04:28 GMT+08:00 2021","1844","testcase","test_regression_0312","Test_repay_regression","","","test001[787-502808233301498210]",""
"passed","Fri Mar 12 10:04:28 GMT+08:00 2021","Fri Mar 12 10:04:28 GMT+08:00 2021","422","testcase","test_regression_0312","Test_repay_regression","","","test001[787-502807273301494658]",""
"passed","Fri Mar 12 10:04:31 GMT+08:00 2021","Fri Mar 12 10:04:32 GMT+08:00 2021","1004","testcase","test_regression_0312","Test_repay_regression","","","test002[787-502808233301498210]",""
"passed","Fri Mar 12 10:04:41 GMT+08:00 2021","Fri Mar 12 10:04:42 GMT+08:00 2021","1256","testcase","test_regression_0312","Test_repay_regression","","","test003[787-502808233301498211]",""
"passed","Fri Mar 12 10:04:30 GMT+08:00 2021","Fri Mar 12 10:04:31 GMT+08:00 2021","1283","testcase","test_regression_0312","Test_repay_regression","","","test001[787-502808233301498211]",""
"passed","Fri Mar 12 10:04:35 GMT+08:00 2021","Fri Mar 12 10:04:37 GMT+08:00 2021","2028","testcase","test_regression_0312","Test_repay_regression","","","test002[787-502808233301498211]",""
